class_weight,max_depth,max_features,leaf,split,n_estimators,train_pr_auc (node),train_pr_auc (hybrid),val_pr_auc (node),val_pr_auc (hybrid),test_pr_auc (node),test_pr_auc (hybrid)
,5,sqrt,1,2,50,0.9736,0.974,0.9331,0.9329,0.8845,0.888
,5,sqrt,1,5,50,0.9735,0.9735,0.9326,0.9332,0.8842,0.8886
,5,sqrt,1,10,50,0.9724,0.9732,0.931,0.9334,0.8817,0.888
,5,sqrt,2,5,50,0.9734,0.9732,0.9336,0.9325,0.8844,0.8886
,5,sqrt,2,10,50,0.9723,0.973,0.932,0.9329,0.8818,0.888
,5,sqrt,5,10,50,0.9715,0.9729,0.9288,0.9326,0.8812,0.8898
,5,0.3,1,2,50,0.9726,0.9743,0.9164,0.9289,0.878,0.888
,5,0.3,1,5,50,0.9725,0.974,0.9185,0.928,0.8795,0.8872
,5,0.3,1,10,50,0.972,0.9739,0.92,0.9306,0.8788,0.8875
,5,0.3,2,5,50,0.9725,0.974,0.917,0.9276,0.8789,0.887
,5,0.3,2,10,50,0.9715,0.9739,0.9182,0.9307,0.8783,0.8879
,5,0.3,5,10,50,0.9713,0.9736,0.9176,0.9291,0.8792,0.8879
,5,0.5,1,2,50,0.971,0.9753,0.9144,0.9238,0.8796,0.8825
,5,0.5,1,5,50,0.9717,0.9753,0.917,0.9243,0.8825,0.8842
,5,0.5,1,10,50,0.9706,0.9751,0.9159,0.9241,0.8787,0.883
,5,0.5,2,5,50,0.9715,0.9753,0.9162,0.9239,0.884,0.8845
,5,0.5,2,10,50,0.9705,0.9751,0.915,0.9232,0.8802,0.8828
,5,0.5,5,10,50,0.9711,0.9747,0.9133,0.9238,0.8803,0.883
balanced,5,sqrt,1,2,50,0.9764,0.9758,0.937,0.9339,0.8898,0.8966
balanced,5,sqrt,1,5,50,0.9761,0.9758,0.9365,0.9339,0.8901,0.8957
balanced,5,sqrt,1,10,50,0.9762,0.9758,0.9367,0.9343,0.889,0.896
balanced,5,sqrt,2,5,50,0.9761,0.9757,0.9365,0.9339,0.8901,0.8956
balanced,5,sqrt,2,10,50,0.9761,0.9758,0.9367,0.9343,0.889,0.8959
balanced,5,sqrt,5,10,50,0.9761,0.9759,0.9368,0.9337,0.8894,0.8962
balanced,5,0.3,1,2,50,0.9804,0.9787,0.9339,0.9283,0.8891,0.8901
balanced,5,0.3,1,5,50,0.9801,0.9789,0.9333,0.9286,0.8885,0.8934
balanced,5,0.3,1,10,50,0.9802,0.9795,0.9329,0.9283,0.8854,0.8945
balanced,5,0.3,2,5,50,0.98,0.9788,0.9333,0.9284,0.8884,0.8934
balanced,5,0.3,2,10,50,0.9802,0.9795,0.9326,0.9281,0.8851,0.8944
balanced,5,0.3,5,10,50,0.98,0.9793,0.9326,0.9272,0.8872,0.8939
balanced,5,0.5,1,2,50,0.9804,0.9801,0.9246,0.9222,0.872,0.8905
balanced,5,0.5,1,5,50,0.9804,0.98,0.9252,0.9209,0.8712,0.887
balanced,5,0.5,1,10,50,0.98,0.9798,0.9261,0.9254,0.8702,0.8914
balanced,5,0.5,2,5,50,0.9802,0.98,0.9262,0.9207,0.8721,0.8867
balanced,5,0.5,2,10,50,0.98,0.9798,0.9266,0.9255,0.8706,0.8914
balanced,5,0.5,5,10,50,0.9798,0.9797,0.9272,0.9251,0.8747,0.8923
